135,"Arlington, VA",38.8816208,-77.0909809
136,United States,37.09024,-95.712891
137,US,37.09024,-95.712891
138,Westchester NY,41.1220194,-73.7948516
139,"Sacramento, CA",NA,NA
140,"Philadelphia, PA",39.9525839,-75.1652215
141,Belgium,50.503887,4.469936
142,"Brooklyn, NY",40.6781784,-73.9441579
143,"Jackson, Michigan",42.245869,-84.4013462
144,"Philadelphia, PA",39.9525839,-75.1652215
145,Colorado,39.5500507,-105.7820674
146,"Dallas, TX",32.7766642,-96.7969879
147,"Silver Spring, Maryland",NA,NA
148,"Washington, D.C.",NA,NA
149,Canada,56.130366,-106.346771
150,"Pleasant Grove, UT",40.3641184,-111.73854
151,Philadelphia,NA,NA
152,mission2heal,NA,NA
153,"NoVA, USA",NA,NA
154,Los Angeles,34.0522342,-118.2436849
155,"Phoenix, AZ",33.4483771,-112.0740373
156,"Houston, TX",29.7604267,-95.3698028
157,"Roanoke, VA",NA,NA
158,NYC,40.7127753,-74.0059728
159,USA,37.09024,-95.712891
160,"Irving, TX",NA,NA
161,"New York, NY",40.7127753,-74.0059728
162,Delaware,38.9108325,-75.5276699
163,"Athens, GA  + Franklin, TN",NA,NA
164,NYC,40.7127753,-74.0059728
165,"Sunnyvale, CA",37.36883,-122.0363496
166,"Waterloo, IA",42.492786,-92.3425775
167,"Dallas, Texas",32.7766642,-96.7969879
168,"New York, USA",40.7127753,-74.0059728
169,"Columbus, OH",39.9611755,-82.9987942
170,"Ann Arbor, MI",42.2808256,-83.7430378
171,United States,NA,NA
172,Iowa,NA,NA
173,"New Jersey, USA",NA,NA
174,Canada,56.130366,-106.346771
175,Southeastern Wisconsin,43.0143117,-88.1807675
176,United States,NA,NA
177,"Greensboro, NC",36.0726354,-79.7919754
178,United States,37.09024,-95.712891
179,"Durham, NC",NA,NA
180,"Scottsdale, AZ",33.4941704,-111.9260519
181,"Lincoln Park, Chicago, IL ",41.9214378,-87.6513043
182,"Arlington, VA",38.8816208,-77.0909809
183,"Toronto, Ontario",NA,NA
184,"Lillian, Alabama",NA,NA
185,"Phoenix, AZ",NA,NA
186,Canada,NA,NA
187,New York City,40.7127753,-74.0059728
188,"Parsippany, NJ",40.8652865,-74.4173877
189,"San Diego, CA",32.715738,-117.1610838
190,Denver,39.7392358,-104.990251
191,"Toronto, Ontario",43.653226,-79.3831843
192,"Ann Arbor, MI",42.2808256,-83.7430378
193,"Seattle, WA",47.6062095,-122.3320708
194,"Washington, DC",NA,NA
195,"Arlington, VA",38.8816208,-77.0909809
196,"Cranbury, NJ",40.3025907,-74.511172
197,"Silver Spring, Maryland",38.9906657,-77.026088
198,"Washington, DC",38.9071923,-77.0368707
199,"Hudson, NY",42.2528649,-73.790959
200,Ann Arbor,42.2808256,-83.7430378
201,"Washington, DC",38.9071923,-77.0368707
202,"Buea, Cameroon",NA,NA
203,Italia ,41.87194,12.56738
204,Firenze ,NA,NA
205,"Atlanta, GA",33.7489954,-84.3879824
206,"Washington, DC",38.9071923,-77.0368707
